Card,Seller,Price,Shipping,URL
"Venusaur ex","poke_collectzz",1.6,0.85,"https://www.ebay.co.uk/itm/365374410878?_skw=Venusaur+ex+001%2F142+Stellar+Crown+-lot+-set+-bundle+-japanese+-korean+-chinese&hash=item551203107e:g:DdYAAOSw6-Rnnmwf"
"Hydrapple ex","kylmalone-1",1.4,0.85,"https://www.ebay.co.uk/itm/286284677923?_skw=Hydrapple+ex+014%2F142+Stellar+Crown+-lot+-set+-bundle+-japanese+-korean+-chinese&hash=item42a7e58323:g:OUgAAOSwgNxnlYGr"
"Cinderace ex","parrisco_0",1.15,1.55,"https://www.ebay.co.uk/itm/405499107000?_skw=Cinderace+ex+028%2F142+Stellar+Crown+-lot+-set+-bundle+-japanese+-korean+-chinese&hash=item5e69a156b8:g:8gwAAOSw83lnk4kn"
"Blastoise ex","kbfgk68",1.75,2,"https://www.ebay.co.uk/itm/316037652461?_skw=Blastoise+ex+030%2F142+Stellar+Crown+-lot+-set+-bundle+-japanese+-korean+-chinese&hash=item49954fdfed:g:NDwAAOSwV-FnVt~g"
"Lapras ex","ashl2927",1.75,0.85,"https://www.ebay.co.uk/itm/235929365694?_skw=Lapras+ex+032%2F142+Stellar+Crown+-lot+-set+-bundle+-japanese+-korean+-chinese&hash=item36ee7c6cbe:g:pxsAAOSw9gtnlMh9"
"Greninja ex","jrwcards1",0.99,1.85,"https://www.ebay.co.uk/itm/315932553342?_skw=Greninja+ex+041%2F142+Stellar+Crown+-lot+-set+-bundle+-japanese+-korean+-chinese&hash=item498f0c307e:g:Hi8AAOSwkdxnLUWi"
"Dachsbun ex","poke_collectzz",0.99,0.85,"https://www.ebay.co.uk/itm/365371635394?_skw=Dachsbun+ex+067%2F142+Stellar+Crown+-lot+-set+-bundle+-japanese+-korean+-chinese&hash=item5511d8b6c2:g:G9UAAOSwla9nnB0m"
"Lucario ex","parrisco_0",0.99,1.55,"https://www.ebay.co.uk/itm/405499449702?_skw=Lucario+ex+082%2F142+Stellar+Crown+-lot+-set+-bundle+-japanese+-korean+-chinese&hash=item5e69a69166:g:x5cAAOSwewVnk7It"
"Garganacl ex","nite05101989",0.99,0.85,"https://www.ebay.co.uk/itm/326378982901?_skw=Garganacl+ex+089%2F142+Stellar+Crown+-lot+-set+-bundle+-japanese+-korean+-chinese&hash=item4bfdb40df5:g:ulcAAOSwdWxnXZY0"
"Melmetal ex","poke_collectzz",0.99,0.85,"https://www.ebay.co.uk/itm/365371575447?_skw=Melmetal+ex+105%2F142+Stellar+Crown+-lot+-set+-bundle+-japanese+-korean+-chinese&hash=item5511d7cc97:g:3r0AAOSwSj5nnBZH"
"Orthworm ex","poke_collectzz",0.99,0.85,"https://www.ebay.co.uk/itm/365355966892?_skw=Orthworm+ex+110%2F142+Stellar+Crown+-lot+-set+-bundle+-japanese+-korean+-chinese&hash=item5510e9a1ac:g:WU8AAOSwdL5nj7IF"
