Card,Seller,Price,Shipping,URL
"Megaton Blower","anna-2565",3.32,2.7,"https://www.ebay.co.uk/itm/376016490976?_skw=Megaton+Blower+182%2F191+Surging+Sparks+-lot+-bundle+-japanese+-korean+-chinese&hash=item578c5451e0:g:hHAAAeSw0GZnunRp"
"Zeraora","bonkers10rugby",8.52,2.7,"https://www.ebay.co.uk/itm/297036236440?_skw=Zeraora+151%2F142+Stellar+Crown+-lot+-bundle+-japanese+-korean+-chinese&hash=item4528bd4698:g:D9QAAeSwccJntjc4"
"Joltik","braggy24",4.88,2.7,"https://www.ebay.co.uk/itm/176661981688?_skw=Joltik+150%2F142+Stellar+Crown+-lot+-bundle+-japanese+-korean+-chinese&hash=item2921dfe9f8:g:sNwAAOSwMJZnJ8Jq"
"Awakening Drum","bwilliams219",1.75,1.15,"https://www.ebay.co.uk/itm/365318051635?_skw=Awakening+Drum+141%2F162+Temporal+Forces+-lot+-bundle+-japanese+-korean+-chinese&hash=item550ea71733:g:E0AAAOSwRiJndcih"
"Kilowattrel ex","caespokehouse",0.99,1.55,"https://www.ebay.co.uk/itm/156684263883?_skw=Kilowattrel+ex+068%2F191+Surging+Sparks+-lot+-bundle+-japanese+-korean+-chinese&hash=item247b1c21cb:g:CVQAAOSwvTdnqBKU&amdata=enc%3AAQAKAAABMPeG5RIuIyokJHJy903%2F5UZmgFQSjE30F%2BD2ofcYVHx2M%2F41cnuYiDLtrlWsVgXDvAFNEy6%2B5vxSGzFNcY9toaiqARlraGkxp5op9NzDr1ROqSvkrCmJOlQuj%2FGZY7lQLnrwiwtDmlAAUPOhMS0yEqPATCmKFWErA2d6j%2FKrXnBGngw7gYGPJT%2FpbxHNqjT9PSMJ%2B2uJ9S%2BitR4rGDpxR1sK3cEkFfpTMJpdt%2Fs3iwCTU1op2hqcXSx82qjd1%2F7OQR4kc8DrfTitOes%2B3Q2DNK7zzXqrsW8aEmUIgIL35f8QblwZysosvNZCCnap5xHawWukb%2BRLkcg%2FOmvrcKgM4v49TRxSpn6WWX04b1HBX7yZjx4sIVVLTVC1a9RRNXQbJgPX8TBPHlsro0LAidoB18A%3D"
"Gouging Fire ex","caespokehouse",1.2,1.55,"https://www.ebay.co.uk/itm/156674964111?_skw=Gouging+Fire+ex+038%2F162+Temporal+Forces+-lot+-bundle+-japanese+-korean+-chinese&hash=item247a8e3a8f:g:AJUAAOSwotJno6-L"
"Koraidon ex","caespokehouse",0.99,1.55,"https://www.ebay.co.uk/itm/156674970138?_skw=Koraidon+ex+120%2F162+Temporal+Forces+-lot+-bundle+-japanese+-korean+-chinese&hash=item247a8e521a:g:MjAAAOSwfcZno7En&amdata=enc%3AAQAKAAABMPeG5RIuIyokJHJy903%2F5Ua8O5mRKF%2Bhr6rsueYq%2B6O7RHs1Mls4etDfLtgZis8JeSbYrJmtpmBq5EIuoZtZHk9XuUBx2hgXUsCc%2FrZw8learzubCz82VJN4fky3M3apk6UPmnhQ%2BEVfWwM%2BZlAcBuMuvdDDKAofrG4bckxc4n63Czw01rQsaAQ5A5ek14VHTpfIrVzX%2BqWDi80Vyk3LnsqEEoGcgPnFULp07dkjYVVHx07G%2Fcn0Bgs6RPeyo%2FYEXCu62TuDKqEskhxADIistMgdQ6X%2BTlsB%2BZuoUi--IfH4pF%2FVGma%2FvAHv70WGXm8v9%2BWYG05j%2B%2FuBRRZAjjhTUdrY%2BqXehSrgxLUaU0oSTAzsuW0kjRbkb%2FW8fIMmD%2Fmgc4dve9YcKZ5nMyB0bXkZ1f8%3D"
"Torterra ex","cardtopiax",1.15,0.85,"https://www.ebay.co.uk/itm/405559476293?_skw=Torterra+ex+012%2F162+Temporal+Forces+-lot+-bundle+-japanese+-korean+-chinese&hash=item5e6d3a8045:g:mA4AAeSw9CVntLcQ&amdata=enc%3AAQAKAAABIPeG5RIuIyokJHJy903%2F5UZD980Cn8BK%2FOvE%2FQ8ncWEPxFMvvIjB4bSJ8fVSxTW8O%2BaUgVOIVwzSsKVxv1Ta6phstfyd9VfCGnnv4%2F9ejgpZWTk9imebdfkFxi2YQoXheDgxuciMypcnhT9jqIPqNOSP%2BIonR9RuQqm9ltDvPNluh%2BhdiL1%2BeRQXuGcM84iyrwCuncR%2FbHD%2FWS%2F2VIhNWPzICB%2FAO2JUeRwcCLqXMTA7VAo52mJOHXmBcEWHJuu3ZilTAl2AMM0VCiviyU8s7I0xQKLMOLNu2whzHlvM7iJ02XCg%2FeusXVtD8w4Zjt%2FU3VW65%2FpUozseAOs5T%2BlFUUkwTSa1wyPEZnTnsxoFJfbYBjSEjmKD9JMvgNl7da6jbw%3D%3D"
"Iron Leaves ex","cardtopiax",1,0.85,"https://www.ebay.co.uk/itm/405560066348?_skw=Iron+Leaves+ex+025%2F162+Temporal+Forces+-lot+-bundle+-japanese+-korean+-chinese&hash=item5e6d43812c:g:gx4AAeSwIh1ntQCE&amdata=enc%3AAQAKAAABMPeG5RIuIyokJHJy903%2F5UaYLLnG7va679ogv1D%2BLjM%2BdYUkEgQKkMidkMf41tq1vo3S1Z0pr8wobPEVqQWpBKEFRGObviOu1WzIWjQSQBhIKiQEY9aNKx1dzPC1%2BPXTNPulaA0ga9HyucQx5tIffHgT%2B71W7zJCjvAXCAuKZUWJjXgZIQ4Y71%2BR%2FSCXYDcpDuWrCjTZ301LMog3LKCY3B40PSkcaVFIK%2FZy1JPudgJgy%2BJRab6XwMzbWQ8EcDil5E56V7RHcsqGHWFB2Lnb6HzuSAXMxahO3mmlSi%2BwDUR76ZZQbW8ZV0%2FE22X5%2FDZKsLLxmctr9bRucqL0Ak6XO0%2FbSknasDgwp1dGY4GIHROFeLu1qxyDku7VPxEm9s5HNsA2roCrPwH0g1nXdGPJph8%3D"
"Walking Wake ex","cardtopiax",1,0.85,"https://www.ebay.co.uk/itm/405358071042?_skw=Walking+Wake+ex+050%2F162+Temporal+Forces+-lot+-bundle+-japanese+-korean+-chinese&hash=item5e61394d02:g:eS8AAOSw-OVnN7tI"
"Raboot","caseypowers2012",5.09,2.7,"https://www.ebay.co.uk/itm/156646865219?_skw=Raboot+147%2F142+Stellar+Crown+-lot+-bundle+-japanese+-korean+-chinese&hash=item2478e17943:g:f8MAAOSw96dnjrKO"
"Deerling","cash_converters_kings_lynn",20,2.99,"https://www.ebay.co.uk/itm/267163099325?_skw=Deerling+165%2F162+Temporal+Forces+-lot+-bundle+-japanese+-korean+-chinese&hash=item3e342960bd:g:FAEAAOSwLOdntIk6"
"Excadrill","celestialgames24",5.95,2.7,"https://www.ebay.co.uk/itm/305624923691?_skw=Excadrill+174%2F162+Temporal+Forces+-lot+-bundle+-japanese+-korean+-chinese&hash=item4728aa3e2b:g:F-wAAOSwGbxmcFqw"
"Mudsdale","celestialgames24",5.45,2.7,"https://www.ebay.co.uk/itm/305624923691?_skw=Mudsdale+175%2F162+Temporal+Forces+-lot+-bundle+-japanese+-korean+-chinese&hash=item4728aa3e2b:g:F-wAAOSwGbxmcFqw"
"Scovillain ex","cians-cards",0.99,1.65,"https://www.ebay.co.uk/itm/176824013197?_skw=Scovillain+ex+022%2F162+Temporal+Forces+-lot+-bundle+-japanese+-korean+-chinese&hash=item292b88518d:g:vBkAAOSwp5Zno1D6&amdata=enc%3AAQAKAAABMPeG5RIuIyokJHJy903%2F5UbTequ23nRFOyOf0JwMdYJXi0S11ftq46h73mM0evTRsvHLyx8Bqvut6M13%2B9beo77rF5AKGdLxf2Dmp%2BKa1EehYEGmGw%2F6rJr1a%2B88mSTmuq5f6gAe6c3aCpoJ3vjALgG535z3fyyT8PfbboqOcmO5qFBuLc5pO1rq%2BVzDwBR4adWZPpt7JnvQU90OpsJNCS9uxDQ92HKjJu%2BaVajcsA9PtgKqWTgH3WpZoBcjoQeADqbOvVQzHjyp9E9jz5Sdj5IBDs%2BkcpOcKdtsWhYoe77l6LeGa8r35tvmoY6cCAfyxBBVWguX%2FkOEeQJxAPY9o1vjUOxd%2FHMbKOWQopbs13HrEqOGh0Wu07Cq1P61afiIazBL3yrr8WE3uu4w7LIy%2B%2F4%3D"
"Incineroar ex","cians-cards",1.3,1.65,"https://www.ebay.co.uk/itm/176865820975?_skw=Incineroar+ex+034%2F162+Temporal+Forces+-lot+-bundle+-japanese+-korean+-chinese&hash=item292e06412f:g:qNEAAeSwUIlnudD8&amdata=enc%3AAQAKAAABMPeG5RIuIyokJHJy903%2F5UbC%2FsZkpfc%2Fb8YVUvxAbT4Xpgrty9vgf2xus1x5slANv%2B6qhgQryBD1Nq0y1xAO3bRCp%2FkYTBhttZZsWrmTPHTxp3Pz1B%2FOj0TpaeoKuz8mXq1DXLp8DF%2BzFCWWFJ%2FZQ1HaOI3IGC%2BG%2Bg7dX3f7WfbiMbGUwdVe%2BrOKSotq8zLy%2FhmWrgL8Rb%2FAMOafBRdA10FjJN5ll0CiJniCtRTsfZjZUPJHjKrHm9GMqZuKXmPK3QhBZfRBqVu7cwl7BFaSMmJ4Ie2RhzlKnyRHvSeUnMth79n7xiFI%2B4bEAuSq5WiT3czxqvscvyOXkQEEHjVcmq%2Bj3bKE9SgH4vdg06CZbgyx0Ss8lVKdF4gNPCUbK2ouXXokUtEldQEhMf0JTwuHRgI%3D"
"Reboot Pod","cians-cards",1,1.65,"https://www.ebay.co.uk/itm/176670672561?_skw=Reboot+Pod+158%2F162+Temporal+Forces+-lot+-bundle+-japanese+-korean+-chinese&hash=item29226486b1:g:VZcAAOSw~ZpnLkOo"
"Gulpin","cjscards64",6.24,2.55,"https://www.ebay.co.uk/itm/306136217065?_skw=Gulpin+154%2F142+Stellar+Crown+-lot+-bundle+-japanese+-korean+-chinese&hash=item474723f5e9:g:OZwAAeSw~NlnvC9q"
"Charjabug","claytoncollectables",3.32,0,"https://www.ebay.co.uk/itm/235963140705?_skw=Charjabug+169%2F162+Temporal+Forces+-lot+-bundle+-japanese+-korean+-chinese&hash=item36f07fca61:g:0F0AAeSwzjlns8R~"
"Meltan","core_mcin",3.83,2.7,"https://www.ebay.co.uk/itm/156710501724?_skw=Meltan+179%2F162+Temporal+Forces+-lot+-bundle+-japanese+-korean+-chinese&hash=item247cac7d5c:g:yIgAAeSwKZBns3PH"
"Master Ball","d59mr-42",1.75,0.85,"https://www.ebay.co.uk/itm/376005760424?_skw=Master+Ball+153%2F162+Temporal+Forces+-lot+-bundle+-japanese+-korean+-chinese&hash=item578bb095a8:g:tNQAAeSwpmFntL~x"
"Energy Search Pro","fan-m0",2.8,0.85,"https://www.ebay.co.uk/itm/297061748256?_skw=Energy+Search+Pro+176%2F191+Surging+Sparks+-lot+-bundle+-japanese+-korean+-chinese&hash=item452a428e20:g:O5gAAOSwYolnrN~N"
"Bravery Charm","fistic_74",16.31,0.85,"https://www.ebay.co.uk/itm/356619950185?_skw=Bravery+Charm+175%2F142+Stellar+Crown+-lot+-bundle+-japanese+-korean+-chinese&hash=item5308349869:g:E~oAAeSwHTtnwfbY&amdata=enc%3AAQAKAAABMPeG5RIuIyokJHJy903%2F5UaO7%2BzqGjVVeycXWhXVdcxPZw8vfc8hGfs926Jv8GuMbXtxsCQHIhlsuFPDqzM4uPld89ktgZDwYU%2FAu%2BHv0txLIxadVgVuQNdCkvojffzj7UzRt3Gi6Zhu%2FpWuPrinWyuo0kzoPI6BFPoVyu2u%2F3G5GjNCNDzwL1koFN1MY6%2B92wm4OF8vy4BJ5YxdJsili4H8%2F01P2fM%2BiZHHLMgzDbQ5uvw9mQ6FBEtdE%2Ba9O%2Faj%2F9rV1sTSqxiYU24fDnrF5De1nHrf%2BKwNl1wVAzXr9NnkeFsNf5ZX%2BSvHJetS4n0qzG2rGmQKBey%2BHBJU5kenDWKysRiiJQd4crafFMMz55CixDM2tNAku54C6sh52NGUkzhO0F576p9Uvg%2Bb9WO9KM4%3D"
"Shiftry","fistic_74",14.23,0.85,"https://www.ebay.co.uk/itm/356619938066?_skw=Shiftry+163%2F162+Temporal+Forces+-lot+-bundle+-japanese+-korean+-chinese&hash=item5308346912:g:HuwAAeSwv-ZnwfW~&amdata=enc%3AAQAKAAABIPeG5RIuIyokJHJy903%2F5UbncCF%2F4yA2OZGCNq3oPiiEToMt%2FvEWnJ4NfzbklNJpIJxGzGcRyStJ%2FXmnPgpn%2FHxL8i3O2fIjJc8I66C%2BhO3BbFuTd9BIKXbYvrhVesncP9ntyeXZUo1odLhK3B6JxHFVXEZWKfAzQuEnQ0dfhnpo0soa6GJJu%2FgkizhfR6G7FONJTEYxBTOyKKrcD7PY8OvUE7zLKL0zrkiRhxTb6eE3%2BYSUFEVZvAtxcIdUAd02%2FL86Sn20QEndIChXB3gdj7uxnd9a2uFxj17JUNtqtzQtAAG8X3g3dFlqcRzpZW8i8bknAb2cavK0IxDfij%2FdGmDQvZLADCQB1aIOBk7%2FDy3qCYnlGln6psmtGCXwIt8l2g%3D%3D"
"Bulbasaur","fox_cards_uk",12.15,0,"https://www.ebay.co.uk/itm/126866620688?_skw=Bulbasaur+143%2F142+Stellar+Crown+-lot+-bundle+-japanese+-korean+-chinese&hash=item1d89d70110:g:ITkAAOSwWRFneYYX&amdata=enc%3AAQAKAAABIPeG5RIuIyokJHJy903%2F5UZJWqd1G86Scot4Eqr61oOf82gwVKaGBbbSzCytho2FQeRQ8UwvAKD%2Fb8rXuVB7QaqnijpUbUoTVf34pfWfaez2ukfLnCiyQLHoQH2XxHf4pI6WPYRBk6ctSXdSk2DdKERrBK7I7rBVGxZTy%2F5tsvF7DtLX%2BbOniYIaUh0j4Z08ACQCc1a%2B9t0LM2h%2BTomx9ef1dt24aHftihuo%2F%2B8RdHKughuRzD5bnW3UY%2BMv1vbGP3YUHwKU208dItjOwIZczjHIvidpfUOuumsXs8f%2BpfXUQnGAXxZnX6E6RrE2x5z1jiB1vSTite0iBdjXsZ9pNXT03hyyepTGHk14GLyCLaY58Yrik7zUm2oihIeKIwPnVQ%3D%3D"
"Hydrapple ex","gavsminimad",1.75,0.85,"https://www.ebay.co.uk/itm/286367335580?_skw=Hydrapple+ex+014%2F142+Stellar+Crown+-lot+-bundle+-japanese+-korean+-chinese&hash=item42acd2c49c:g:cEUAAeSwfZ9nwKo6"
"Precious Trolley","hannahrb22",4.36,1.55,"https://www.ebay.co.uk/itm/256803895597?_skw=Precious+Trolley+185%2F191+Surging+Sparks+-lot+-bundle+-japanese+-korean+-chinese&hash=item3bcab4792d:g:71QAAOSwYpNnoNlj"
"Hero's Cape","happyduckhour",4.88,2.7,"https://www.ebay.co.uk/itm/364901589286?_skw=Hero%27s+Cape+152%2F162+Temporal+Forces+-lot+-bundle+-japanese+-korean+-chinese&hash=item54f5d46126:g:t-kAAOSwIcdmSgjg&amdata=enc%3AAQAKAAABIPeG5RIuIyokJHJy903%2F5UZJwsTUrY7RwS%2BybOt1%2BKk%2BoOW5t%2BaNBWkyZzzLugIhx31hg5SvX2QH1rKukGk%2F9TvNmU4UNTGr2hy2yFIIenYycwgX2kWy3Yk2s9gJ0Tw%2FTC01IkdFVoYqBwH3ytnN7UZUKC6b5ScGf%2BcwTM7KAafeOMulR%2FPLWfAT028zCa89GRQEUubDIaq4lG1kenDj1m5yyaiGVLoT4rzo%2FPuED0eeXb%2Fj2pQTGQ193zy%2F4oQL9BTCpGQMR80tp2ax5HofAsWc%2FiTO7U3WXvYTSqrscK76oaEb%2FYvn3WcygaJXOuuHFXELNK2QeIYTYfu7SKfeakh7LnrqkpQwW6WFG3J8oFApJeN8JrMcqeYIyqh5GdfdRg%3D%3D"
"Alolan Exeggutor ex","hooperscards",1.23,1.55,"https://www.ebay.co.uk/itm/226614414953?_skw=Alolan+Exeggutor+ex+133%2F191+Surging+Sparks+-lot+-bundle+-japanese+-korean+-chinese&hash=item34c3458e69:g:ORYAAOSw5ztnpMus"
"Cinccino","hooperscards",10,3.1,"https://www.ebay.co.uk/itm/226616121057?_skw=Cinccino+183%2F162+Temporal+Forces+-lot+-bundle+-japanese+-korean+-chinese&hash=item34c35f96e1:g:k6sAAeSwBttnvIdc"
"Area Zero Underdepths","jahop_7529",17.36,4.8,"https://www.ebay.co.uk/itm/306101446188?_skw=Area+Zero+Underdepths+174%2F142+Stellar+Crown+-lot+-bundle+-japanese+-korean+-chinese&hash=item474511662c:g:RjEAAOSweL5nqImj"
"Lacey","jaskdhu_0",4.73,2.7,"https://www.ebay.co.uk/itm/316127033668?_skw=Lacey+166%2F142+Stellar+Crown+-lot+-bundle+-japanese+-korean+-chinese&hash=item499aa3b944:g:dScAAOSw-dhngxWm"
"Cinderace ex","jdcards23",1.5,1,"https://www.ebay.co.uk/itm/256833579990?_skw=Cinderace+ex+028%2F142+Stellar+Crown+-lot+-bundle+-japanese+-korean+-chinese&hash=item3bcc796bd6:g:5BMAAOSwZz9ndF8s"
"Scizor ex","jdcards23",1.5,1,"https://www.ebay.co.uk/itm/256827942073?_skw=Scizor+ex+111%2F162+Temporal+Forces+-lot+-bundle+-japanese+-korean+-chinese&hash=item3bcc2364b9:g:ZEkAAOSwZSNncFV9"
"Miraidon ex","jpcar-20",0.99,0.85,"https://www.ebay.co.uk/itm/405589637702?_skw=Miraidon+ex+122%2F162+Temporal+Forces+-lot+-bundle+-japanese+-korean+-chinese&hash=item5e6f06ba46:g:eYoAAeSwv-ZnwQ4V"
"Raging Bolt ex","klaatudude",4.1,0.85,"https://www.ebay.co.uk/itm/267008344406?_skw=Raging+Bolt+ex+123%2F162+Temporal+Forces+-lot+-bundle+-japanese+-korean+-chinese&hash=item3e2af00156:g:33YAAOSwBGdm-Caj"
"Sawsbuck","lamcke30",21.52,2.7,"https://www.ebay.co.uk/itm/176877692022?_skw=Sawsbuck+166%2F162+Temporal+Forces+-lot+-bundle+-japanese+-korean+-chinese&hash=item292ebb6476:g:5EQAAeSwudNnv4PG"
"Litten","ludderz_ex",13.19,2.7,"https://www.ebay.co.uk/itm/396248960341?_skw=Litten+167%2F162+Temporal+Forces+-lot+-bundle+-japanese+-korean+-chinese&hash=item5c42474d55:g:uhoAAeSw~wxnvzA4"
"Metagross","lukesabomac",28.8,2.7,"https://www.ebay.co.uk/itm/376023719953?_skw=Metagross+178%2F162+Temporal+Forces+-lot+-bundle+-japanese+-korean+-chinese&hash=item578cc2a011:g:rpwAAeSwuLdnviGm"
"Chatot","lux-collectables",9.04,2.7,"https://www.ebay.co.uk/itm/156726983149?_skw=Chatot+181%2F162+Temporal+Forces+-lot+-bundle+-japanese+-korean+-chinese&hash=item247da7f9ed:g:2boAAeSwezpnukVQ"
"Grotle","mackenzie_tcg",0.99,0.5,"https://www.ebay.co.uk/itm/235939179862?_skw=Grotle+011%2F162+Temporal+Forces+-lot+-bundle+-japanese+-korean+-chinese&hash=item36ef122d56:g:szkAAOSwJBxniUrl"
